ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319863395,Продажа коммерческой земли,"12.0, сот.",м. Заельцовская (23 мин на машине),"Новосибирская область, Новосибирск, Заря-1 СТ, 617А","12000000 руб., УСН",+79137325414,"Продам земельный участок промышленного назначения 12 сот.
- Местоположение участка город Новосибирск, СНТ Заря-1, 617а
- Расположение участка на первой линии с отдельным подъездом, удобно для любого бизнеса.
- Отличная транспортная развязка в близи Северного объезда .
- Произведено межевание.
- Проведен свет 380 вольт.
- Установлен металлический забор и ворота.
- На территории участка установлен вагончик.
- Сделано частичное планирование участка.
- Пакет документов на руках.
- Кадастровый номер: 54:35:111060:302
- Все документы на руках.
- ЕГРН и ГПЗУ сделаны., 14 фото",https://www.cian.ru/sale/commercial/319863395
312452202,Продажа коммерческой земли,"13.97, сот.",м. Площадь Маркса (10 мин на машине),"Новосибирская область, Новосибирск, Большая улица, 368","15000000 руб., УСН",+79833013538,"Арт. 91439585 Предлагаем в продажу производственно-складскую площадку, расположенную на первой линии ул.Большой, в составе:
земельный участок площадью 53 х 42 м (оформлено в собственность 1397 кв.м), выровнен, выложен бетонными плитами;
2 неотапливаемых металлических склада высотой 5,6 м, с распашными воротами, площадью по 128 кв.м, имеется тельфер;
3 неотапливаемых металлических склада высотой 2,6м (24 кв.м, 24 кв.м, 44 кв.м);
жилой дом площадью 46 кв.м (2 комнаты и кухня) в хорошем состоянии, с отдельным эл/счетчиком, эл/котлом, бойлером, оформлен в собственность.

Технические условия:
прямые договоры на эл/снабжение на 30 КВт,
водопровод - 2 скважины, 
канализация автономная.

Территория огорожена, есть двое распашных ворот шириной 4,5м, асфальтированные подъезды.
Рядом размещена остановка общественного транспорта.
Удобное место для размещения СТО, производственно-складской базы, магазина, иного объекта коммерческого назначения.

Агентство ""Самолет Плюс"" - официальный представитель  ..., 5 фото",https://www.cian.ru/sale/commercial/312452202
320057264,Продажа коммерческой земли,"10.08, сот.",м. Площадь Маркса (10 мин на машине),"Новосибирская область, Новосибирск","18500000 руб., УСН",+79830511625,"Первая линия! Редкое предложение.

Отличный вариант для активного развития бизнеса.

Земельный учacтoк 10,08 соток.

Получены теx услoвия на воду,вооотведение, элeктроэнepгию.
Кaдaстpoвый номeр: 54:35:051135:398


Зона улично-дорожной сети ( ИТ-3)
Kатегория земeль: Земли нacеленных пунктов
Подходит для размещениния магазинов, инфраструктуры придорожного сервиса.
Земельный участок по адресу: Новосибирская область, г Новосибирск, ул Петухова, 6 к7, 3 фото",https://www.cian.ru/sale/commercial/320057264
317128459,Продажа коммерческой земли,"12.38, сот.",м. Заельцовская (10 мин на машине),"Новосибирская область, Новосибирск, улица Объединения, 36/1","19000000 руб., УСН",+79833026988,"Предлагаем к просмотру и покупке участок подходящий под коммерческую застройку, расположенный по ул.Объединения.

-Зона делового общественного и коммерческого назначения ОД-1
-Площадь участка - 1238 м2
-Высокий автомобильный трафик
-В шаговой доступности расположены жилые дома, ведется активное строительство Жилого Комплекса Ежевика 
-Удобный заезд к участку
-Альтернативы данному участку нет в данной локации

Данный объект недвижимости прошел юридическую экспертизу и является абсолютно безопасным для покупки с целью проживания и вложения денежных средств. При покупке данного объекта возможен любой порядок оплаты.

Дополнительно оплачивается комиссия покупателя.

Специалист Компании ответит на все Ваши вопросы.


Арт. 102881963, 5 фото",https://www.cian.ru/sale/commercial/317128459
312064150,Продажа коммерческой земли,"15.0, сот.",м. Студенческая (13 мин на машине),"Новосибирская область, Новосибирск, Станционная улица, 80к5","21000000 руб., УСН",+79134734364,"продам участк 15 соток, огоржен бетонный забором, покрытие асфальт, ворота профлист, строений нет, в перспективе можно расширить участок, жд. тупик проходит мимо участка., газ , городская вода возможность есть так же и по Эл.энергии. звоните спрашивайте может что и забыл написать. земля собственность. на данный момент сидят арендаторы., 7 фото",https://www.cian.ru/sale/commercial/312064150
297075610,Продажа коммерческой земли,"6.0, сот.",м. Речной вокзал (17 мин на машине),"Новосибирская область, Новосибирск, Ростовская улица, 7а","25000000 руб., УСН",+79130178807,"Густонаселенная часть первомайского района, участок в собственности с начала 2000х годов, продается без агентства!

Долевая собственность!
1/2 от участка 1200 кв.м. (Вторая часть отделена забором, споров с собственником нет - это хороший товарищ. Против размежевания и продажи доли ничего не имеет, письменное разрешение имеется)

Участок с бизнесом и зданием (здание не зарегистрировано)!
- Здание 2 этажа + цокольный этаж

Участок:
- Возможно изменить назначение земли и вид использования;
- Интересуются застройщики;
На территории находятся:
- Охраняемая автостоянка;
- ""Сторожка"" (Несколько сторожей работают посменно);
- Вольер для собаки (Сторожевая собака);
- Шлагбаум и закрывающиеся ворота;
- Начатое строительство крытого бокса;
- Вышка связи МТС (Арендуют землю);
- Кузовной ремонт автомобилей (Арендует бокс на 2 авто и покрасочную камеру);

Первый этаж:
- В здании расположен сан.узел на первом этаже, кухня, лестница на второй этаж, спуск в цоколь, выход на склад (фото склада по запрос ..., 19 фото",https://www.cian.ru/sale/commercial/297075610
320252198,Продажа коммерческой земли,"60.0, сот.",м. Площадь Маркса (7 мин на машине),"Новосибирская область, Новосибирск, Станционная улица, 38","26000000 руб., УСН",+79831236186,"Код объекта: 1704978.
 Продам дешевле рынка.

Участок собственность промка, ул. Станционной.

Возможно посадить здание 5000квм. в два этапа, и увеличение до 160 соток.

Капитализация при строительстве более 50 процентов.

Всё коммуникации центральные.

Жд тупик в собственности.

Вид права: собственность., 2 фото",https://www.cian.ru/sale/commercial/320252198
300417622,Продажа коммерческой земли,"7.2, сот.",м. Сибирская (10 мин пешком),"Новосибирская область, Новосибирск, улица Мичурина, 8/1","30000000 руб., УСН",+79138938607,"Продается земельный участок 727 кв.м. расположенный в Центральном парке Новосибирска. В границе участка расположен капитальный объект 143.5 кв.м. Вид разрешенного использования: ""Для обслуживания кафе"".

 Участок имеет прямоугольную форму без перепада высот. Имеются все коммуникации: центральное  отопление, водоснабжение, электроэнергия (50 Квт)
 Территория участка огорожена забором. Имеется прямой асфальтированный подъезд на участок со стороны ул. Каменская.

 Участок подходит для размещения :
 -Кафе
 -Ресторана
 -Фудкорт зоны
 -Клуба и подобных объектов. 

Не упустите. Самый центр Новосибирска. Большой пешеходный и транспортный трафик, высокий потенциал  для реализации коммерческих проектов в сфере общепита.
Участок и объект недвижимости находится в собственности Юр. лица. Быстрый выход на сделку.

 JC000050100005

	Пожалуйста, дождитесь ответа специалиста при звонке. 
	Время дозвона до владельца объявления увеличено из-за использования подменных номеров на сайте Циан., 11 фото",https://www.cian.ru/sale/commercial/300417622
296631796,Продажа коммерческой земли,"40.0, сот.",м. Речной вокзал (10 мин на машине),"Новосибирская область, Новосибирск, Переселенческая улица, 131","45000000 руб., УСН","+79137830434, +79132030394","Участок в частной собственности,ровный, огорожен, Улица Переселенческая 131 . На участке находится дом 250м2 Время дозвона до владельца объявления увеличено из-за использования подменных номеров тел., 4 фото",https://www.cian.ru/sale/commercial/296631796
320540392,Продажа коммерческой земли,"0.5, га",м. Площадь Маркса (11 мин на машине),"Новосибирская область, Новосибирск, Станционная улица, 38к642","50000000 руб., УСН",+79139113787,"Продам земельные участки от 0,5 до 2,3 Га.
Электричество до 1 МВт — достаточно для любых задач.
Участки в таких локациях не пустуют долго., 1 фото",https://www.cian.ru/sale/commercial/320540392
