ID  объявления,Тип,Площадь,Метро,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
318204077,Продажа коммерческой земли,"1.6, га",м. Новокосино (8 мин на машине),"Московская область, Реутов, проспект Мира, 40, ш. Горьковское (2 км до МКАД), ш. Носовихинское (7 км до МКАД)","300000000 руб., УСН",79166953982,"Лот: 17341. Продажа имущественного комплекса
г. Реутов , проспект Мира 40
Расстояние до МКАД -2 км
До шоссе Энтузиастов, М-7  1 км
Кадастровый номер: 50:48:0010301:4
Площадь участка: 16 153 м2
Категория -Земли населенных пунктов
Зона П, производственная деятельность 6.0; Ф6.2.1;
ВРИ/ ПЗЗ -6.3; 6.3.1;6.3.2;6.3.4;6.4;6.6; энергетика 6.7; склад 6.9;
Площадь ОКС-3000 м2, сданы по краткосрочным договорам
Заключен ДДАЗУ на 49 лет
Инфраструктура: Электричество до 50 КВт, 300 м до ПС ""Восточная"", 5 км до ПС ""Кучино"", жд ветка на участке
Цена -300 млн. рублей, 2 фото",https://www.cian.ru/sale/commercial/318204077
307249227,Продажа коммерческой земли,"1.6, га",м. Новокосино (8 мин на машине),"Московская область, Реутов, проспект Мира, 40, ш. Горьковское (2 км до МКАД), ш. Носовихинское (7 км до МКАД)","300000000 руб., УСН",79819022644,"Собственник.
В продаже имущественный комплекс, расположенный в сeвеpной части г. Реутова.
Адрес: МО, г. Реутов, пр-т Мира, д. 40.

Общая площадь зданий - 3 000 м2
Общая площадь ЗУ - 16 153 м2. Права на ЗУ -  долгосрочный договор аренды на 49 лет, до 2074 года. 

Категория ЗУ - земли населенных пунктов
Вид разрешенного использования - производственная деятельность, склад,складские площадки, объекты дорожного сервиса, автомобильные мойки, ремонт автомобилей, стоянка транспортных средств.
Кадастровый номер - 50:48:0010301:4 

Перечень зданий и сооружений на объекте:
1. Крытый 2-х этажный склад, КН 50:48:0010301:30
Общая площадь: 124,9 кв.м.
2. Бытовые помещения, КН 50:48:0010301:107
Общая площадь: 73,7 кв.м.
3. Крытый 2-х этажный склад, КН 50:48:0010301:39
Общая площадь: 40,5 кв.м.
4. Склад пиломатериалов, КН 50:48:0010301:40
Общая площадь: 335,4 кв.м.
5. Склад спецодежды, КН 50:48:0000000:30098
Общая площадь: 114,8 кв.м.
6. Складское помещение Промбазы, КН 50:48:0010301:28
Общая площадь: ..., 14 фото",https://www.cian.ru/sale/commercial/307249227
